roi_number,Area,Biovolume,EquivDiameter,MajorAxisLength,winner,id,name,international_id
1045,226,1982.3449640000001,16.96325845,19.51424247,Chaetoceros,3.0,Chaetoceros,148985.0
1046,413,4526.249616,22.9313744,28.65167176,mix,25.0,mix,
1047,220,2297.289628,16.73656774,18.14264989,mix,25.0,mix,
1048,187,1447.488815,15.43035304,18.50207445,kiteflagellates,,,
1049,220,1409.690552,16.73656774,26.40632799,mix,25.0,mix,
1050,345,2666.4267649999997,20.95871282,31.92909255,mix,25.0,mix,
1052,350,2795.425293,21.11004123,33.24979555,mix,25.0,mix,
1056,673,8526.282462000001,29.27268716,40.31440015,mix,25.0,mix,
1057,3420,140571.3487,65.98847811,68.38573284,mix,25.0,mix,
1058,201,1705.884811,15.997535699999998,17.8227579,,,,
1060,573,6346.802557999999,27.01048424,40.18279593,,,,
1061,192,1435.707843,15.63528038,18.4154935,mix,25.0,mix,
1062,509,6366.4375119999995,25.45739437,31.543955199999996,mix,25.0,mix,
1064,583,9413.782386,27.24515837,28.25953331,ciliate_mix,,,
1066,315,3537.433328,20.02674353,21.37420298,mix,25.0,mix,
1067,346,2934.59375,20.98906578,30.91065791,mix,25.0,mix,
1068,802,15338.826130000001,31.95525176,35.94441988,mix,25.0,mix,
1069,212,1968.9931960000001,16.42944867,20.31517791,,,,
1071,200,1098.772031,15.95769122,24.73566157,,,,
1072,205,1916.371519,16.15593101,18.41899372,mix,25.0,mix,
1073,329,2630.298449,20.46694433,29.97141278,,,,
1074,215,2069.524161,16.5452864,18.10321862,mix,25.0,mix,
1075,520,6554.933072,25.73100393,31.36086466,mix,25.0,mix,
1077,38857,3522870.475,222.428121,383.7502088,,,,
1078,4794,145018.1875,78.12752637,99.8544602,Rhizosolenia,18.0,Rhizosolenia,149069.0
1080,211,1697.2454309999998,16.39065416,19.30643518,mix,25.0,mix,
1081,211,1328.108294,16.39065416,23.72994227,mix,25.0,mix,
1082,385,4086.4266439999997,22.14039803,26.85289887,Guinardia,,,
1084,274,2096.243408,18.6779987,26.18452689,,,,
1085,211,1852.7542670000003,16.39065416,17.78765653,mix,25.0,mix,
1086,213,1571.793945,16.46815178,20.60360721,,,,
1087,1504,40682.83947,43.76016768,44.7960989,mix,25.0,mix,
1088,288,3059.125846,19.14922946,21.20056158,mix_elongated,,,
1089,216,1890.4533789999998,16.58371917,17.96920806,mix,25.0,mix,
1090,568,9628.981483,26.89237924,30.11943099,mix,25.0,mix,
1092,284,2158.621338,19.01578373,27.34692309,Guinardia_striata,,,
1093,229,2360.1214809999997,17.07547527,18.70841415,mix,25.0,mix,
1094,682,7072.510461,29.46776832,49.38315933,mix,25.0,mix,
1095,5497,171001.6005,83.66001301,150.9271668,mix,25.0,mix,
1096,332,3688.229775,20.56004691,22.74339547,mix,25.0,mix,
1098,279,3109.391329,18.84764794,20.9099827,,,,
1100,305,2317.70998,19.70629496,28.77542559,mix,25.0,mix,
1102,255,2522.698901,18.01877032,19.69764922,detritus,23.0,detritus,
1103,481,7033.240553000001,24.74728714,26.88720986,,,,
1104,243,2326.34936,17.58969043,19.28989162,mix,25.0,mix,
1105,559,7927.809061,26.6784727,30.85959914,detritus,23.0,detritus,
1108,546,5228.306640999999,26.36643304,36.20630958,mix,25.0,mix,
1110,36687,931812.8125,216.128062,1266.7156109999999,,,,
1111,244,2469.291826,17.62584605,18.3819913,mix,25.0,mix,
1113,725,9017.156314,30.382538899999997,45.49254781,mix_elongated,,,
1118,2238,73126.0668,53.38080274,55.97959379,Dinobryon,9.0,Dinobryon,157240.0
1119,419,4602.4332380000005,23.0973455,30.51077999,mix,25.0,mix,
1120,222,2278.440072,16.81247093,20.11736358,,,,
1121,608,7032.455155,27.82318535,42.52364837,,,,
1123,231,1752.8845210000002,17.14987857,21.59510933,detritus,23.0,detritus,
1124,593,6635.043684,27.47782834,41.54035619,mix,25.0,mix,
1125,241,2345.9843140000003,17.51715531,19.49596789,mix,25.0,mix,
1126,1776,42713.09372,47.55284883,59.54566703,mix,25.0,mix,
1128,793,8840.014648,31.77544585,47.35349592,mix,25.0,mix,
1129,212,1931.2940839999999,16.42944867,17.26974323,mix_elongated,,,
