roi_number,Area,Biovolume,EquivDiameter,MajorAxisLength,MinorAxisLength,winner,id,name,international_id
1551,565,8456.382025,26.82126661,29.10726553,24.91870658,mix,25.0,mix,
1552,4003,182875.25,71.39172149,72.11296039,70.82274759,Thalassiosira,21.0,Thalassiosira,148912.0
1554,620,7399.236097,28.09641468,39.43610244,20.45957848,mix,25.0,mix,
1555,816,10756.81325,32.23295625,48.57348295,22.99218334,mix,25.0,mix,
1557,904,14914.711119999998,33.92651689,43.64648589,27.26362333,mix,25.0,mix,
1558,226,1613.9686279999999,16.96325845,21.23926439,15.26231764,mix,25.0,mix,
1560,563,5413.421386999999,26.77375326,43.81811361,19.37727986,detritus,23.0,detritus,
1561,554,8657.443954999999,26.55889131,27.36647343,25.89173883,mix,25.0,mix,
1562,557,6690.021556000001,26.63070458,35.2774726,20.64368757,mix,25.0,mix,
1563,519,6742.643233,25.70625067,31.47079252,22.13792585,mix,25.0,mix,
1564,505,4884.842772999999,25.35716802,37.25645634,20.34538891,detritus,23.0,detritus,
1565,523,7746.382086,25.80512123,28.79356544,24.54400443,mix,25.0,mix,
1566,231,2126.0728280000003,17.14987857,18.51440824,16.36490733,mix,25.0,mix,
1567,211,1802.4887850000002,16.39065416,17.97832357,15.16028316,mix,25.0,mix,
1568,543,6776.415354000001,26.29389801,32.98296663,21.77012944,mix,25.0,mix,
1569,542,8004.778081,26.26967516,29.1902423,24.11998929,mix,25.0,mix,
1570,324,2922.466566,20.31082501,26.80476869,16.49732077,Chaetoceros,3.0,Chaetoceros,148985.0
1572,5414,46146.41797,83.02601336,575.919764,13.47735545,Rhizosolenia,18.0,Rhizosolenia,149069.0
1573,250,2088.373716,17.84124116,21.55875383,15.3377782,mix,25.0,mix,
1574,1577,42281.910130000004,44.80958337,47.28029194,42.83557232,dino30,,,
1575,16348,609502.3125,144.2737678,369.74557180000005,58.72026267,Ditylum,,,
1576,488,3029.916016,24.92671053,37.34955625,29.72786649,detritus,23.0,detritus,
1578,307,3258.6169800000002,19.77080019,23.09611054,18.15527306,mix,25.0,mix,
1579,366,4172.820442,21.58716455,24.28298645,19.77439823,mix,25.0,mix,
1580,12086,276972.3438,124.0498817,416.4075966,45.32934983,Ceratium,2.0,Ceratium,109506.0
1583,502,7612.864398000001,25.28173751,25.93111098,24.79958675,mix,25.0,mix,
1584,203,1068.975342,16.07692842,30.82953794,9.358340145,mix_elongated,,,
1586,590,8570.264759,27.40823474,31.26222905,24.32635703,mix,25.0,mix,
1587,617,7905.817913,28.02835705,37.79362317,21.93318494,mix,25.0,mix,
1588,261,2283.152461,18.22952334,21.72349285,15.47849154,mix,25.0,mix,
1589,4187,30679.17188,73.01406696,493.5121567,12.40944497,Pseudonitzschia,,,
1590,2064,22514.91406,51.26369495,146.601506,21.77231486,Skeletonema,19.0,Skeletonema,149073.0
1591,476,5999.65657,24.61832698,28.52277301,21.65744999,mix,25.0,mix,
1593,550,6832.964022,26.46283714,33.97024418,21.91454809,mix,25.0,mix,
1594,2256,37387.308769999996,53.59504094,112.3807653,27.55612584,Cerataulina,,,
1595,660,10982.222520000001,28.98858568,30.7860089,27.67004499,mix,25.0,mix,
1596,204,1538.595002,16.11647812,19.85422369,14.11495473,mix,25.0,mix,
1598,573,6684.523768999999,27.01048424,37.77102458,20.02411722,mix,25.0,mix,
1599,59854,1604.05603,276.0588338,897.4372675000001,250.21578300000002,Asterionellopsis,,,
1600,483,6882.444106,24.79868343,26.33942204,23.66518905,mix,25.0,mix,
1601,259,2591.028541,18.1595441,19.94701776,17.47531568,mix,25.0,mix,
1602,694,11283.81541,29.72588508,33.77866742,26.72058816,mix,25.0,mix,
1603,508,4941.808105,25.43237481,34.48757912,21.41249386,detritus,23.0,detritus,
1604,973,10610.47363,35.19747259,54.00359422,31.2657985,detritus,23.0,detritus,
1605,3385,126516.6485,65.64994942,75.50225408,60.05644374,clusterflagellate,,,
1607,558,7092.145415000001,26.65459934,33.73773085,21.585275,mix,25.0,mix,
1608,358,4939.36905,21.34993576,24.22806458,22.00452504,mix,25.0,mix,
1609,255,2356.19449,18.01877032,20.31794161,16.64333901,mix,25.0,mix,
1610,258,2141.780792,18.12445317,22.42453489,15.21501179,mix,25.0,mix,
1611,16951,680445.6875,146.9104609,356.1614648,63.80589989,Ditylum,,,
1612,477,3879.8669270000005,24.644173000000002,43.02690179,14.85458106,mix_elongated,,,
1613,473,4271.208984000001,24.540625600000002,32.18323482,23.58753676,detritus,23.0,detritus,
1614,408,3937.200993,22.79214194,31.38157716,17.07964017,mix,25.0,mix,
1615,643,10281.647359999999,28.61281229,31.23819533,26.43166187,mix,25.0,mix,
1617,1103,16694.95313,37.47510131,49.63666795,30.24011144,detritus,23.0,detritus,
1618,713,9531.592111,30.13004805,41.74902072,23.11870915,mix,25.0,mix,
1620,828,12871.1051,32.46909828,41.66936852,25.96442598,dino30,,,
1621,250,1665.075073,17.84124116,23.79560303,17.11652977,detritus,23.0,detritus,
1622,845,10182.71875,32.80072279,47.50830224,25.44389923,detritus,23.0,detritus,
1624,245,1654.236816,17.66192765,23.98878486,15.49362174,mix,25.0,mix,
1625,927,8714.819336,34.35539343,74.24405496,20.01155117,Chaetoceros,3.0,Chaetoceros,148985.0
1626,646,7596.371036,28.67948301,42.93923906,20.72366859,mix,25.0,mix,
1628,433,5361.127863000001,23.48004946,27.89499514,24.09817893,detritus,23.0,detritus,
1631,712,8463.014648,30.10891157,46.47581001,21.47778131,Chaetoceros,3.0,Chaetoceros,148985.0
1632,543,4482.777832,26.29389801,47.49374257,17.65720108,detritus,23.0,detritus,
1633,605,8785.463856,27.75445774,31.76560261,24.79801477,mix,25.0,mix,
1636,3444,18702.68646,66.21961184,131.540373,35.70933706,Skeletonema,19.0,Skeletonema,149073.0
1637,527,5198.820313,25.90361442,34.00124715,23.5798148,detritus,23.0,detritus,
1638,347,2916.183381,21.01937492,30.15005403,14.90936058,mix,25.0,mix,
1641,586,7412.587866,27.31516746,35.68504131,21.62748694,mix,25.0,mix,
