,name,international_id,resolved_names,taxon_level_fromid,taxon_name_fromid,higher_order_fromid,higher_order_id,data_source,resolved_id_fromgnr,taxon_function,resolved_taxon_level_fromgnr,resolved_higher_order_fromgnr,resolved_higher_order_id,name_match,id_match,higher_match,alt_datasource,alt_resolved_name
123,Tintinnidium_mucicola,NA,Tintinnidium mucicola,NA,NA,NA,NA,World Register of Marine Species,247944,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
124,Tintinnopsis,NA,Tintinnopsis,NA,NA,NA,NA,World Register of Marine Species,163780,worrms,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
125,Tontonia_appendiculariformis,NA,Tontonia appendiculariformis,NA,NA,NA,NA,World Register of Marine Species,101345,taxize,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
126,Tontonia_gracillima,NA,Tontonia gracillima,NA,NA,NA,NA,World Register of Marine Species,101347,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
127,Vicicitus_globosus,NA,Vicicitus globosus,NA,NA,NA,NA,World Register of Marine Species,707927,worrms,species,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NCBI,Vicicitus globosus
128,Warnowia,NA,Warnowia,NA,NA,NA,NA,World Register of Marine Species,109491,worrms,genus,Dinoflagellata,146203,FALSE,FALSE,FALSE,NA,NA
129,amoeba,NA,Amoeba,NA,NA,NA,NA,World Register of Marine Species,120533,taxize,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
130,bad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
131,bead,NA,NA,NA,NA,NA,NA,NA,-999999,NA,NA,NA,NA,FALSE,FALSE,FALSE,OCB,bead
132,bubble,NA,NA,NA,NA,NA,NA,NA,-999999,NA,NA,NA,NA,FALSE,FALSE,FALSE,OCB,bubble
133,camera_spot,NA,Camera,NA,NA,NA,NA,World Register of Marine Species,1372979,taxize,genus,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NCBI,Camera
134,cryptophyta,NA,Cryptophyta,NA,NA,NA,NA,World Register of Marine Species,17638,worrms,phylum,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,NA,NA
135,detritus,NA,NA,NA,NA,NA,NA,NA,-999999,NA,NA,NA,NA,FALSE,FALSE,FALSE,OCB,detritus
136,detritus_clear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
137,fecal_pellet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
138,flagellate,NA,NA,NA,NA,NA,NA,NA,urn:lsid:algaebase.org:taxname:86701,NA,NA,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,AlgaeBase,Eukaryota
139,flagellate_morphotype1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
140,flagellate_morphotype3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
141,mix,NA,NA,NA,NA,NA,NA,NA,urn:lsid:algaebase.org:taxname:86701,NA,NA,"other than diatoms, dinoflagellates, or haptophytes",-6666,FALSE,FALSE,FALSE,AlgaeBase,Eukaryota
142,pennate,NA,NA,NA,NA,NA,NA,NA,148899,NA,NA,Bacillariophyceae,148899,FALSE,FALSE,FALSE,Sosik-specific,pennate
143,pennate_morphotype1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
144,pollen,NA,NA,NA,NA,NA,NA,NA,-999999,NA,NA,NA,NA,FALSE,FALSE,FALSE,OCB,pollen
145,square_unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
